route_id,direction_id,time_period,speed_mph,district_name,Shape_Length
1695,0,peak,16.91519367,7,45022.3365701713
1695,0,all_day,16.91306728,7,45022.3365701713
1885,1,offpeak,24.17012595,2,18189.6371424801
1885,1,peak,25.21247029,2,18189.6371424801
1885,1,all_day,24.85517453,2,18189.6371424801
1885,0,offpeak,22.48647707,2,18318.8928778534
1885,0,peak,21.74921553,2,18318.8928778534
1885,0,all_day,22.11170245,2,18318.8928778534
3163,0,offpeak,15.314198,7,15554.2906074492
3163,0,peak,15.83330936,7,15554.2906074492
3163,0,all_day,15.70227286,7,15554.2906074492
VJO,1,offpeak,28.54247862,4,56594.5387684158
VJO,1,peak,26.39993384,4,56594.5387684158
VJO,1,all_day,27.97502952,4,56594.5387684158
L1,1,offpeak,28.37921877,4,98859.7071834517
L1,1,peak,29.21958326,4,98859.7071834517
L1,1,all_day,28.68516243,4,98859.7071834517
L1,0,offpeak,27.65001098,4,98837.2001568155
L1,0,peak,28.26696454,4,98837.2001568155
L1,0,all_day,27.86327954,4,98837.2001568155
ROUTEA,0,offpeak,21.34502435,5,17754.9583659465
ROUTEA,0,peak,10.84451811,5,17754.9583659465
ROUTEA,0,all_day,14.34799404,5,17754.9583659465
ROUTEA,1,offpeak,20.73554546,5,19051.1775990306
ROUTEA,1,peak,17.85776861,5,19051.1775990306
ROUTEA,1,all_day,19.3070298,5,19051.1775990306
C,1,offpeak,10.29778512,4,7879.27732185839
C,1,peak,12.12220315,4,7879.27732185839
C,1,all_day,11.11716395,4,7879.27732185839
C,0,offpeak,11.51827314,4,11184.7529705098
C,0,peak,8.8799604,4,11184.7529705098
C,0,all_day,10.09066628,4,11184.7529705098
2,0,offpeak,15.36491538,4,14299.8731584536
2,0,peak,14.04889232,4,14299.8731584536
2,0,all_day,14.52983694,4,14299.8731584536
4772,1,offpeak,20.10837441,6,17411.3548722491
4772,1,peak,18.77087516,6,17411.3548722491
4772,1,all_day,19.35913807,6,17411.3548722491
4772,0,offpeak,18.2502539,6,18988.971658131
4772,0,peak,17.3792793,6,18988.971658131
4772,0,all_day,17.79169021,6,18988.971658131
